Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AGRX,"Agile Therapeutics, Inc.",4.74,$136.54M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",10.06,$234.68M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",55.94,$2.7B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,21.18,$7.01B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.99,$9B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,AGNC Investment Corp.,25.36,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGFS,"AgroFresh Solutions, Inc.",7.8,$392.19M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.98,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",12.8,$188.29M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",21.52,$1.08B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",16.25,$33.2M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",24.36,$1.44B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",13.55,$129M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.69,$168.97M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",47.14,$8.11B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,4.65,$54.76M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",14.39,$923.81M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",13.19,$621.08M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,1.1,$9.78M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.62,$4.19B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",6.94,$132.38M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",38.03,$1.76B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",2.25,$117.77M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"Albany Molecular Research, Inc.",21.74,$934M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALBO,"Albireo Pharma, Inc.",24.62,$217.21M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,11.94,$160.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,1.11,$30.59M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"Alder BioPharmaceuticals, Inc.",10.75,$727.35M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",4.75,$71.88M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",137.34,$30.65B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",30.2,$250.35M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",167.23,$13.43B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.44,$93.46M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",3.07,$110.65M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,54.41,$8.36B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",37.55,$491.87M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,129.25,$2.15B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
AIQ,"Alliance HealthCare Services, Inc.",13.25,$143.51M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",28.63,$1.71B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",1.07,$10.06M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",20.2,$1.51B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.08,$8.35M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",29.59,$280.26M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",0.3498,$16.08M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,5.06,$167.56M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",12.31,$2.23B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,49.45,$689.31M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",82.74,$7.13B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,17.7,$421.09M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,930.5,$644.72B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,945.5,$655.12B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,24.61,$27.07M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",1.63,$17.7M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALPN,"Alpine Immune Sciences, Inc.",8.79,$34.4M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,28,$7M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin
AABA,Altaba Inc.,58.4,$52.26B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ALT,"Altimmune, Inc.",2.52,$1.73M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,26.09,$480.9M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,44.55,$1.31B,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",19.65,$688.64M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.54,$963.91M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",15.07,$105.96M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMZN,"Amazon.com, Inc.",987.78,$474.13B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",20.43,$924.03M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",10.1687,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",50.05,$1.68B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,63.95,$4.26B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,67.17,$9.84B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.36,$13.06M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,47.36,$1.6B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,388.56,$7.62B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,"America First Multifamily Investors, L.P.",6.2,$373.57M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",17.62,$58.15B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",50.44,$24.85B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",12.75,$127.5M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,"American Electric Technologies, Inc.",2,$16.98M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",37.75,$326.27M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,119,$3.2B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,20.67,$1.11B,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
APEI,"American Public Education, Inc.",21.3,$345.78M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",36.77,$701.71M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,13.95,$88.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",9.7,$288.3M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,3.19,$61.22M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,98.15,$1.6B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",39.2,$296.61M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,45.8,$1.7B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",57.75,$1.11B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.95,$72.92M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,28.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,29.6,$275.6M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,174.51,$127.34B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",12.95,$2.12B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",10.37,$2.48B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",17.28,$790.35M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,36.54,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",8.83,$116.56M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",16,$3.13B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",4.05,$80.65M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",79.01,$29B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,70.2,$875.43M,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANAB,"AnaptysBio, Inc.",24.33,$493.15M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,4.06,$167.99M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,25.5,$63.87M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,10.14,$53.84M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,0.43,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,10.95,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,0.3099,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",11.98,$729.32M,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",16.25,$597.82M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ANI Pharmaceuticals, Inc.",48.73,$567.63M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,51.16,$749.9M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",129.55,$11.08B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",3.14,$489.61M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.37,$13.81M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
ABAC,"Aoxin Tianli Group, Inc.",2.4486,$19.55M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
APOG,"Apogee Enterprises, Inc.",52.09,$1.5B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APEN,"Apollo Endosurgery, Inc.",6.42,$110.69M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen
AINV,Apollo Investment Corporation,6.39,$1.4B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
APPF,"AppFolio, Inc.",34.95,$1.18B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,19.56,$1.15B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,148.73,$775.45B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",0.672,$4.47M,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,1.73,$45.59M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.4102,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,4.75,$85.9M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
AMAT,"Applied Materials, Inc.",44.31,$47.62B,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AAOI,"Applied Optoelectronics, Inc.",97.49,$1.85B,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AREX,Approach Resources Inc.,3.13,$270.07M,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APTI,"Apptio, Inc.",17.75,$705.26M,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
APRI,"Apricus Biosciences, Inc.",1.37,$17.5M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
